지 역,,,,2011년,2012년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
,,,,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
전국,,,,81.05,81.28,79.327,79.926,82.09,86.105,86.761,87.701,87.781,86.53,93.08,106.204
수도권,,,,76.143,75.927,71.747,71.143,72.924,77.435,78.88,80.992,83.871,83.856,91.469,107.908
지방권,,,,85.734,86.471,87.176,89.252,91.849,95.196,94.93,94.542,91.625,89.124,94.622,104.64
6대광역시,,,,76.08,76.498,75.666,77.257,79.746,83.981,84.729,85.592,85.016,84.838,92.17,105.389
5대광역시,,,,76.046,76.606,76.615,78.683,81.234,85.597,86.255,87.029,86.319,86.032,93.254,104.238
9개도,,,,84.886,85.16,83.642,84.191,86.442,90.014,89.962,89.962,88.31,85.832,92.517,107.326
8개도,,,,96.018,96.953,98.433,100.465,103.128,105.408,104.155,102.461,97.24,92.637,95.69,105.271
서울,,,,79.211,78.997,73.944,73,74.452,79.446,82.025,85.873,92.773,93.801,96.626,104.377
,강북지역,,,81.249,81.042,77.213,75.72,77.154,81.759,83.835,86.697,92.776,93.348,96.821,104.06
,,도심권,,-,85.416,81.618,79.094,78.799,81.027,82.968,86.237,95.127,95.886,98.17,104.52
,,,종로구,81.685,81.685,81.408,80.858,81.046,83.014,84.867,88.098,95.393,96.543,98.992,103.653
,,,중구,84.214,84.214,77.936,77.083,78.102,81.484,82.936,86.208,95.133,96.055,98.128,103.463
,,,용산구,87.6,87.6,83.595,79.471,78.338,80.05,82.279,85.545,94.987,95.508,97.847,105.513
,,동북권,,-,81.326,77.01,75.396,76.949,82.239,84.221,86.97,92.304,92.725,96.504,103.961
,,,성동구,78.667,78.397,73.177,72.712,74.571,80.831,82.511,86.808,94.47,94.88,97.7,102.25
,,,광진구,81.305,81.075,77.503,74.155,75.416,80.928,82.712,87.42,93.855,95.121,97.425,102.013
,,,동대문구,80.133,79.689,76.167,74.371,75.94,82.932,84.919,87.265,93.349,93.519,97.416,102.542
,,,중랑구,88.636,88.408,84.168,83.27,83.581,87.49,88.707,90.302,94.253,94.523,97.822,103.558
,,,성북구,80.846,80.69,79.307,76.943,77.745,81.761,84.153,86.079,93.726,94.367,97.529,104.24
,,,강북구,82.286,82.208,77.851,76.235,77.085,81.635,83.07,84.782,91.744,92.766,97.481,102.305
,,,도봉구,86.414,86.215,79.568,77.181,78.659,83.055,84.856,87.235,91.703,91.965,95.874,104.284
,,,노원구,78.92,78.534,73.882,72.786,75.083,80.905,83.26,86.268,89.785,90.031,94.666,105.94
,,서북권,,-,77.977,75.978,75.4,77.196,80.318,82.826,85.927,93.295,94.3,97.272,104.183
,,,은평구,81.294,81.293,79.259,77.851,79.062,82.586,84.981,87.987,93.814,94.499,97.486,104.275
,,,서대문구,80.495,80.495,77.862,78.01,79.562,82.785,85.582,88.309,94.803,95.624,98.27,103.37
,,,마포구,73.779,73.779,72.204,71.772,74.121,76.877,79.291,82.657,91.778,93.16,96.359,104.757
,강남지역,,,77.521,77.301,71.33,70.815,72.281,77.572,80.54,85.187,92.773,94.188,96.46,104.651
,,서남권,,-,78.331,73.389,72.606,73.755,78.717,81.632,85.717,92.563,93.616,97.161,103.913
,,,양천구,77.929,77.793,72.71,70.846,72.32,76.9,79.999,84.386,91.75,93.298,96.728,102.605
,,,강서구,78.84,78.387,72.237,71.522,72.019,77.792,81.512,85.832,93.89,94.378,97.672,105.005
,,,구로구,78.478,78.441,75.293,74.477,75.057,80.907,83.235,86.674,92.254,93.313,97.808,104.133
,,,금천구,81.077,81.077,78.703,77.844,79.182,83.842,86.285,89.546,93.164,94.565,97.946,103.224
,,,영등포구,78.048,78.039,73.47,71.374,73.12,77.788,80.224,84.897,92.35,93.813,97.13,103.602
,,,동작구,76.854,76.648,69.991,70.953,73.068,77.345,80.006,84.072,92.59,93.689,96.251,104.846
,,,관악구,79.41,79.6,74.311,75.393,75.955,80.162,83.454,87.169,91.797,92.225,96.532,103.432
,,동남권,,-,76.155,69.195,68.941,70.715,76.325,79.343,84.602,93.008,94.825,95.69,105.493
,,,서초구,78.585,78.498,74.39,72.345,73.898,79.575,82.663,86.614,93.924,95.438,95.478,105.739
,,,강남구,76.613,75.817,67.352,66.628,68.966,75.686,80.26,85.541,93.611,95.712,95.804,105.833
,,,송파구,75,74.867,67.653,69.292,70.544,74.282,75.88,82.497,91.081,93.901,95.263,105.588
,,,강동구,75.68,75.621,68.477,68.22,70.014,76.715,79.284,83.846,94.053,94.085,96.495,104.387
경기,,,,74.577,74.345,70.654,70.149,72.037,76.445,77.306,78.632,79.957,79.349,89.36,109.501
