항목별,항목,단위,2019.01 월,2019.02 월,2019.03 월,2019.04 월,2019.05 월,2019.06 월,2019.07 월,2019.08 월,2019.09 월,2019.10 월,2019.11 월,2019.12 월,2020.01 월,2020.02 월,2020.03 월,2020.04 월,2020.05 월,2020.06 월,2020.07 월,2020.08 월,2020.09 월,2020.10 월,2020.11 월,2020.12 월,2021.01 월,2021.02 월,2021.03 월,2021.04 월,2021.05 월,2021.06 월,2021.07 월,2021.08 월,2021.09 월,2021.10 월,2021.11 월,2021.12 월,2022.01 월,2022.02 월,2022.03 월,2022.04 월,2022.05 월
생산자물가지수:식료품제조업,오스트리아,,102.09149,102.19148,102.39147,102.99142,103.09141,103.29139,103.39138,103.49138,103.59137,103.49138,103.99133,104.49129,104.49129,104.79127,104.99125,104.59128,104.29131,104.3913,104.3913,104.49129,104.19132,104.3913,104.49129,104.3913,104.69128,104.99125,105.69119,106.09116,106.59112,106.69111,106.89109,107.09108,107.39105,107.89101,108.09099,109.1909,109.87089,111.04541,113.07413,115.10284,
생산자물가지수:식료품제조업,벨기에,,107.8,108.4,108.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
생산자물가지수:식료품제조업,캐나다,,102.36317,101.73065,102.36317,104.0499,104.47158,104.36616,103.31196,104.78784,102.89027,103.10112,103.62822,104.89326,105.42036,105.31494,106.47457,108.68839,112.79979,109.63718,106.36915,106.26373,108.05587,108.47755,107.95045,107.42335,108.79382,111.64017,113.22147,116.38408,119.54669,120.07379,118.38707,120.39006,120.28463,118.38707,118.70333,118.70333,120.81174,124.18519,126.2936,128.71826,
생산자물가지수:식료품제조업,칠레,,107.45647,106.72587,107.46609,107.75448,109.75403,109.97513,109.84055,111.28253,111.43634,111.00375,112.61877,112.66683,113.7339,114.74329,116.99278,117.16582,116.14681,115.92571,116.44482,117.37731,118.34824,118.36747,116.92548,117.61764,118.04062,117.49266,119.08846,119.43453,120.66502,121.40524,123.23175,125.36588,126.58676,128.35559,130.76851,135.11368,136.22881,137.99764,140.59321,,
생산자물가지수:식료품제조업,코스타리카,,104.76745,105.13034,105.5933,105.37784,105.51487,105.25709,104.59779,104.18407,104.96169,105.26198,104.52864,104.5206,104.98052,105.39417,105.32879,105.21321,105.01758,105.35745,105.53424,106.22174,106.51652,107.09466,106.6317,107.86919,108.53399,109.34267,110.42006,111.076,112.12756,113.76978,114.45051,115.63694,115.67009,117.47819,118.98573,120.09171,121.70293,123.82644,125.47995,,
생산자물가지수:식료품제조업,체코,,101.4,101.9,101.9,102.5,103.1,103.3,103.4,103.5,103.9,104.2,104.3,105,106.1,105.5,106.9,108.2,107,106.1,105.6,105.4,105.5,106,105.5,104.9,104.9,104.6,105.1,105.5,105.5,106.2,106.8,107.2,107.2,108.1,109,109.7,111.3,113.2,116,,
생산자물가지수:식료품제조업,덴마크,,101,101.5,101.6,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
생산자물가지수:식료품제조업,에스토니아,,108.26256,108.87002,108.80252,108.73502,108.80252,108.73502,108.60003,108.26256,108.93751,108.53254,108.66753,108.73218,108.80252,109.0725,109.74745,108.39755,109.0725,109.34248,109.00501,108.46504,107.72259,107.38512,107.31762,106.64267,107.72259,108.12757,108.33005,109.40998,110.28742,110.42241,110.69239,111.83981,111.70482,113.93217,114.74211,116.56449,121.28916,122.63907,125.27139,128.84864,
생산자물가지수:식료품제조업,핀란드,,101.8,102.1,102.3,102.4,102.6,103,103,103,102.1,101.8,101.7,101.6,102.2,102.3,102.4,102.2,103.2,103.5,103.5,103.4,102.7,102.8,103.1,102.9,102.8,103,103.2,103.2,103.6,104.1,104.6,105.1,105.6,105.7,106,107,109.4,110.8,112.4,114.4,
생산자물가지수:식료품제조업,프랑스,,101.1,101.1,100.9,101.1,101.2,101.4,101.4,101.6,101.6,101.9,102.2,102.6,102.4,102.5,102.6,102.3,101.9,101.6,101.7,101.4,101.3,101.7,101.7,102.1,102,102.2,102.9,103.4,103.9,103.9,104.4,104.5,104.7,105.2,106,107.1,109.1,110.1,113.7,117.3,
